종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
047400,유니온머티리얼,3205,-30,-0.93,KOSPI,비금속광물,1.3461e+11,,1980,20,0.62,,,1.62,,
143210,핸즈코퍼레이션,6140,-210,-3.31,KOSPI,운수장비,134240465520,,13471,0,0,,,0.46,,
023810,인팩,13400,300,2.29,KOSPI,운수장비,1.34e+11,337,9650,150,1.12,,39.76,1.39,,
007540,샘표,46250,-100,-0.22,KOSPI,기타금융,133005750000,15906,62296,200,0.43,,2.91,0.74,,
002700,신일전자,1865,-10,-0.53,KOSPI,유통업,132503626665,115,1059,20,1.07,,16.22,1.76,,
005750,대림B&Co,7930,-100,-1.25,KOSPI,비금속광물,132210863200,,9517,130,1.64,,,0.83,,
009460,한창제지,2215,-15,-0.67,KOSPI,종이목재,132163481490,177,1587,20,0.9,,12.51,1.4,,
091090,세원이앤씨,903,3,0.33,KOSPI,기계,131395612173,,1229,0,0,,,0.73,,
004410,서울식품,355,-6,-1.66,KOSPI,음식료품,131319448345,,78,0,0,,,4.55,,
092440,기신정기,4480,-50,-1.1,KOSPI,기계,1.30816e+11,335,8360,150,3.35,,13.37,0.54,,
118000,우리들휴브레인,1620,-10,-0.61,KOSPI,유통업,130732062480,239,1262,0,0,,6.78,1.28,,
008260,NI스틸,4560,-25,-0.55,KOSPI,철강금속,130416533520,424,4246,50,1.1,,10.75,1.07,,
264900,크라운제과,10350,-50,-0.48,KOSPI,음식료품,129621847500,1247,11481,250,2.42,,8.3,0.9,,
011810,STX,4820,-75,-1.53,KOSPI,유통업,129505206000,,1314,0,0,,,3.67,,
009440,KC그린홀딩스,5770,-100,-1.7,KOSPI,기타금융,129449834600,,6349,40,0.69,,,0.91,,
119650,KC코트렐,7340,-60,-0.81,KOSPI,기계,1.29184e+11,,813,0,0,,,9.03,,
012170,아센디오,2030,-5,-0.25,KOSPI,서비스업,128923667880,,326,0,0,,,6.23,,
034590,인천도시가스,29250,0,0,KOSPI,전기가스업,127961554500,2762,43813,1250,4.27,,10.59,0.67,,
007980,태평양물산,2650,50,1.92,KOSPI,섬유의복,127596405550,,3487,0,0,,,0.76,,
001550,조비,24550,-200,-0.81,KOSPI,화학,127469467450,579,9861,0,0,,42.4,2.49,,
021050,서원,2685,95,3.67,KOSPI,철강금속,127469274150,,2118,0,0,,,1.27,,
012280,영화금속,2375,-100,-4.04,KOSPI,운수장비,126811949375,,1380,15,0.63,,,1.72,,
017040,광명전기,2910,-100,-3.32,KOSPI,전기전자,126112459650,108,2362,15,0.52,,26.94,1.23,,
026940,부국철강,6290,500,8.64,KOSPI,철강금속,1.258e+11,40,5663,75,1.19,,157.25,1.11,,
009180,한솔로지스틱스,4535,-45,-0.98,KOSPI,운수창고업,124610122375,316,1989,50,1.1,,14.35,2.28,,
092780,동양피스톤,9450,-700,-6.9,KOSPI,운수장비,124441947000,,7084,60,0.63,,,1.33,,
053690,한미글로벌,11350,-250,-2.16,KOSPI,서비스업,124368192500,974,10889,300,2.64,,11.65,1.04,,
