종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
015760,한국전력,코스피,전기가스업,28050,-250,18007092359850,2020-12-21,-,28050,,,105140,0.27,0,0,,
096770,SK이노베이션,코스피,화학,187500,-1000,17337293250000,2020-12-21,-,187500,,,186398,1.01,3000,1.6,,
055550,신한지주,코스피,금융업,33500,150,17303648972500,2020-12-21,-,33500,7000,4.79,79682,0.42,1850,5.52,,
034730,SK,코스피,금융업,240500,-3000,16921651428500,2020-12-21,-,240500,12917,18.62,235255,1.02,5000,2.08,,
066570,LG전자,코스피,전기전자,94900,-900,15530177548600,2020-12-21,-,94900,169,561.54,79245,1.2,750,0.79,,
032830,삼성생명,코스피,금융업,75800,-100,1.516e+13,2020-12-21,-,75800,5443,13.93,178335,0.43,2650,3.5,,
018260,삼성에스디에스,코스피,서비스업,179500,2000,13889315100000,2020-12-21,-,179500,9521,18.85,84595,2.12,2400,1.34,,
326030,SK바이오팜,코스피,서비스업,177000,-4500,13861445250000,2020-12-21,-,177000,,,,,0,0,,
003550,LG,코스피,금융업,78600,100,13562990496600,2020-12-21,-,78600,6143,12.8,107050,0.73,2200,2.8,,
009150,삼성전기,코스피,전기전자,168000,0,12548540928000,2020-12-21,-,168000,6806,24.68,68106,2.47,1100,0.65,,
033780,KT&G,코스피,기타제조업,88600,600,12164115234200,2020-12-21,-,88600,8208,10.79,63008,1.41,4400,4.97,,
090430,아모레퍼시픽,코스피,화학,207000,-1500,12100907430000,2020-12-21,-,207000,3477,59.53,65050,3.18,1000,0.48,,
086790,하나금융지주,코스피,금융업,36050,250,10823726335100,2020-12-21,-,36050,7898,4.56,93673,0.38,2100,5.83,,
251270,넷마블,코스피,서비스업,124500,-1000,10687740223500,2020-12-21,-,124500,1883,66.12,51919,2.4,0,0,,
000810,삼성화재,코스피,금융업,196500,500,9309155470500,2020-12-21,-,196500,15126,12.99,282791,0.69,8500,4.33,,
011170,롯데케미칼,코스피,화학,264500,-2000,9065848325500,2020-12-21,-,264500,20860,12.68,385244,0.69,6700,2.53,,
018880,한온시스템,코스피,기계,15250,-300,8.14045e+12,2020-12-21,-,15250,597,25.54,4153,3.67,320,2.1,,
